2026-03-12 14:01:51,141 | INFO | __main__ | Application started
2026-03-12 14:01:52,544 | INFO | etl.pipeline | Pipeline started
2026-03-12 14:01:52,544 | INFO | sources.csv_source | Loading CSV file: /media/alexander/Dane2/2_Python_Data/998_Databases/2_db_cars_csv/USA_cars_datasets.csv
2026-03-12 14:01:52,549 | INFO | sources.csv_source | Loaded 2499 rows from /media/alexander/Dane2/2_Python_Data/998_Databases/2_db_cars_csv/USA_cars_datasets.csv
2026-03-12 14:01:52,556 | INFO | etl.pipeline | Data loaded
2026-03-12 14:01:52,561 | INFO | transform.transformers | Rows before: 2499, rows after: 2499
2026-03-12 14:01:52,561 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:01:52,567 | INFO | etl.pipeline | Data transformed
2026-03-12 14:01:52,574 | INFO | loaders.csv_loader | Data saved to /media/alexander/Dane2/2_Coding/2_python_coding/001_etl_project_OOP/saved_data/output.csv
2026-03-12 14:01:52,574 | INFO | etl.pipeline | Data saved
2026-03-12 14:01:52,574 | INFO | etl.pipeline | Pipeline process completed
2026-03-12 14:01:54,584 | INFO | __main__ | Application finished
2026-03-12 14:03:37,869 | INFO | __main__ | Application started
2026-03-12 14:03:38,618 | INFO | etl.pipeline | Pipeline started
2026-03-12 14:03:38,618 | INFO | sources.csv_source | Loading CSV file: /media/alexander/Dane2/2_Python_Data/998_Databases/2_db_cars_csv/USA_cars_datasets.csv
2026-03-12 14:03:38,622 | INFO | sources.csv_source | Loaded 2499 rows from /media/alexander/Dane2/2_Python_Data/998_Databases/2_db_cars_csv/USA_cars_datasets.csv
2026-03-12 14:03:38,630 | INFO | etl.pipeline | Data loaded
2026-03-12 14:03:38,634 | INFO | transform.transformers | Rows before: 2499, rows after: 2499
2026-03-12 14:03:38,634 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:03:38,640 | INFO | etl.pipeline | Data transformed
2026-03-12 14:03:38,647 | INFO | loaders.csv_loader | Data saved to /media/alexander/Dane2/2_Coding/2_python_coding/001_etl_project_OOP/saved_data/output.csv
2026-03-12 14:03:38,647 | INFO | etl.pipeline | Data saved
2026-03-12 14:03:38,647 | INFO | etl.pipeline | Pipeline process completed
2026-03-12 14:03:39,937 | INFO | __main__ | Application finished
2026-03-12 14:04:52,369 | INFO | __main__ | Application started
2026-03-12 14:04:53,530 | INFO | etl.pipeline | Pipeline started
2026-03-12 14:04:53,531 | INFO | sources.csv_source | Loading CSV file: /media/alexander/Dane2/2_Python_Data/998_Databases/2_db_cars_csv/USA_cars_datasets.csv
2026-03-12 14:04:53,535 | INFO | sources.csv_source | Loaded 2499 rows from /media/alexander/Dane2/2_Python_Data/998_Databases/2_db_cars_csv/USA_cars_datasets.csv
2026-03-12 14:04:53,544 | INFO | etl.pipeline | Data loaded
2026-03-12 14:04:53,548 | INFO | transform.transformers | Rows before: 2499, rows after: 2499
2026-03-12 14:04:53,548 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:04:53,554 | INFO | etl.pipeline | Data transformed
2026-03-12 14:04:53,561 | INFO | loaders.csv_loader | Data saved to /media/alexander/Dane2/2_Coding/2_python_coding/001_etl_project_OOP/saved_data/output.csv
2026-03-12 14:04:53,561 | INFO | etl.pipeline | Data saved
2026-03-12 14:04:53,561 | INFO | etl.pipeline | Pipeline process completed
2026-03-12 14:04:55,122 | INFO | __main__ | Application finished
2026-03-12 14:22:52,137 | INFO | transform.transformers | Rows before: 3, rows after: 1
2026-03-12 14:22:52,137 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:24:33,684 | INFO | transform.transformers | Rows before: 3, rows after: 1
2026-03-12 14:24:33,684 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:34:50,013 | INFO | transform.transformers | Rows before: 3, rows after: 1
2026-03-12 14:34:50,013 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:34:50,015 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 14:34:50,015 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:39:09,923 | INFO | transform.transformers | Rows before: 3, rows after: 1
2026-03-12 14:39:09,923 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:39:09,924 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 14:39:09,924 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:39:09,926 | INFO | transform.transformers | Rows before: 2, rows after: 1
2026-03-12 14:39:09,926 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:53:22,157 | INFO | transform.transformers | Rows before: 3, rows after: 1
2026-03-12 14:53:22,158 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:53:22,159 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 14:53:22,159 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:53:22,161 | INFO | transform.transformers | Rows before: 2, rows after: 1
2026-03-12 14:53:22,161 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:53:22,162 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 14:53:22,162 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:53:57,705 | INFO | transform.transformers | Rows before: 3, rows after: 1
2026-03-12 14:53:57,705 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:53:57,707 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 14:53:57,707 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:53:57,709 | INFO | transform.transformers | Rows before: 2, rows after: 1
2026-03-12 14:53:57,709 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:53:57,710 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 14:53:57,710 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:53:57,712 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 14:53:57,712 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:59:55,393 | INFO | transform.transformers | Rows before: 3, rows after: 1
2026-03-12 14:59:55,393 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:59:55,394 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 14:59:55,394 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:59:55,396 | INFO | transform.transformers | Rows before: 2, rows after: 1
2026-03-12 14:59:55,396 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:59:55,398 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 14:59:55,398 | INFO | transform.transformers | Data transformed successfully
2026-03-12 14:59:55,399 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 14:59:55,399 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:02:28,955 | INFO | transform.transformers | Rows before: 3, rows after: 1
2026-03-12 15:02:28,955 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:02:28,957 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:02:28,957 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:02:28,959 | INFO | transform.transformers | Rows before: 2, rows after: 1
2026-03-12 15:02:28,959 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:02:28,960 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:02:28,960 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:02:28,962 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:02:28,962 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:18:14,582 | INFO | transform.transformers | Rows before: 3, rows after: 1
2026-03-12 15:18:14,583 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:18:14,586 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:18:14,586 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:18:14,589 | INFO | transform.transformers | Rows before: 2, rows after: 1
2026-03-12 15:18:14,590 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:18:14,592 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:18:14,592 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:18:14,595 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:18:14,595 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:23:15,471 | INFO | loaders.csv_loader | Data saved to /tmp/pytest-of-alexander/pytest-0/test_csv_loader_saves_file0/output.csv
2026-03-12 15:23:15,474 | INFO | transform.transformers | Rows before: 3, rows after: 1
